Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Abell 1;PN;00:12:36.34;+69:10:40.5;Cep;0.78;;;;;;;;;;;;;;;;;;;;;;PN G119.4+06.5,A 1,PK 119+06 1,A55  1,ARO 198,VV' 2;
Abell 2;PN;00:45:36.09;+57:57:23.2;Cas;0.60;;;;;;;;;;;;;;;;;;;;;;PN G122.1-04.9,A 2,PK 122-04 1,A55  2,ARO 202,VV' 6;
Abell 3;PN;02:12:11.60;+64:09:04.1;Cas;1.00;;;;;;;;;;;;;;;;;;;;;;PN G131.5+02.6,A 3,PK 131+02 1,A55  3,ARO 204,Sh 2-189,VV'12;
Abell 4;PN;02:45:25.79;+42:32:35.6;Per;0.33;;;;;;;;;;;;;;;;;;;;;;PN G144.3-15.5,A 4,PK 144-15 1,ARO 205,VV' 13;
Abell 5;PN;02:52:13.42;+50:35:52.1;Per;2.12;;;;;;;;;;;;;;;;;;;;;;PN G141.7-07.8,A 5,PK 141-07 1,A55  4,ARO 206,VV' 14;
Abell 6;PN;02:58:52.94;+64:29:58.2;Cas;3.10;;;;;;;;;;;;;;;;;;;;;;PN G136.1+04.9,A 6,PK 136+04 1,A55  5,ARO 207;
Abell 7;PN;05:03:08.04;-15:36:13.1;Lep;12.67;;;;;;;;;;;;;;;;;;;;;;PN G215.5-30.8,A 7,PK 215-30 1,A55 6,ARO 215,VV' 27;
Abell 8;PN;05:06:37.87;+39:08:07.5;Aur;1.00;;;;;;;;;;;;;;;;;;;;;;PN G167.0-00.9,A 8,PK 167-00 1,A55 7,ARO 216,VV' 28;
Abell 9;PN;05:28:56.70;+36:03:05.0;Aur;;;;;;;;;;;;;;;;;;;;;;;PN A66 9;
Abell 10;PN;05:31:47.78;+06:56:08.9;Ori;0.57;;;;;;;;;;;;;;;;;;;;;;PN G197.2-14.2,K 1- 7,PK 197-14 1,A 10,ARO 176;
Abell 11;PN;05:37:21.57;+08:15:29.3;Ori;;;;;;;;;;;;;;;;;;;;;;;PN A66 11;
Abell 12;PN;06:02:22.81;+09:39:02.6;Ori;0.62;;;;;;;;;;;;;;;;;;;;;;PN G198.6-06.3,A 12,PK 198-06 1,ARO 220;
Abell 13;PN;06:04:46.75;+03:56:26.9;Ori;2.55;;;;;;;;;;;;;;;;;;;;;;PN G204.0-08.5,A 13,PK 204-08 1,A55  9,ARO 124,VV' 38,YM 28;
Abell 14;PN;06:11:08.77;+11:46:47.4;Ori;0.55;;;;;;;;;;;;;;;;;;;;;;PN G197.8-03.3,A 14,PK 197-03 1,A55 10,ARO 125,VV' 39;
Abell 15;PN;06:27:02.17;-25:22:54.5;CMa;0.57;;;;;;;;;;;;;;;;;;;;;;PN G233.5-16.3,A 15,PK 233-16 1,ARO 221,ESO 490-01;
Abell 16;PN;06:43:55.24;+61:47:25.0;Lyn;1.75;;;;;;;;;;;;;;;;;;;;;;PN G153.7+22.8,A 16,PK 153+22 1,A55 11,ARO 222,VV' 47;
Abell 17;PN;06:48:38.02;-09:32:38.7;Mon;;;;;;;;;;;;;;;;;;;;;;;PN A66 17;
Abell 18;PN;06:56:14.31;-02:53:08.1;Mon;1.22;;;;;;;;;;;;;;;;;;;;;;PN G216.0-00.2,A 18,PK 216-00 1,A55 13,ARO 224,VV' 50;
Abell 19;PN;06:59:56.64;+14:36:46.9;Gem;1.12;;;;;;;;;;;;;;;;;;;;;;PN G200.7+08.4,A 19,PK 200+08 1,A55 14,ARO 130,VV' 51;
Abell 20;PN;07:22:57.82;+01:45:37.5;CMi;1.12;;;;;;;;;;;;;;;;;;;;;;PN G214.9+07.8,A 20,PK 214+07 1,A55 15,ARO 132,VV' 60;
Abell 21;PN;07:29:02.89;+13:14:30.1;Gem;10.25;;;;;;;;;;;;;;;;;;;;;;PN G205.1+14.2,A 21,PK 205+14 1,A55 16,ARO 388,Sh 2-274,YM 29;Medusa Nebula
Abell 22;PN;07:36:06.70;+02:42:17.2;CMi;1.40;;;;;;;;;;;;;;;;;;;;;;PN G215.6+11.1,K 1-11,PK 215+11 1,A 22,ARO 133;
Abell 23;PN;07:43:18.93;-34:45:12.9;Pup;0.90;;;;;;;;;;;;;;;;;;;;;;PN G249.3-05.4,A 23,PK 249-05 1,ARO 542,ESO 368-10;
Abell 24;PN;07:51:38.52;+03:00:27.1;CMi;5.92;;;;;;;;;;;;;;;;;;;;;;PN G217.1+14.7,A 24,PK 217+14 1,A55 17,ARO 134,VV' 73;
Abell 25;PN;08:06:45.25;-02:52:42.7;Mon;2.75;;;;;;;;;;;;;;;;;;;;;;PN G224.3+15.3,K 1-13,PK 224+15 1,A 25,ARO 246;
Abell 26;PN;08:09:01.32;-32:40:15.2;Pup;0.67;;;;;;;;;;;;;;;;;;;;;;PN G250.3+00.1,A 26,PK 250+00 1,ARO 545,ESO 369-05;
Abell 27;PN;08:31:52.60;-32:06:07.1;Pyx;0.72;;;;;;;;;;;;;;;;;;;;;;PN G252.6+04.4,K 1- 1,PK 252+04 1,A 27,ESO 431-14;
Abell 28;PN;08:41:34.58;+58:13:54.4;UMa;4.50;;;;;;;;;;;;;;;;;;;;;;PN G158.8+37.1,A 28,PK 158+37 1,A55 18,VV' 78;
Abell 29;PN;08:40:14.24;-20:53:41.2;Pyx;6.67;;;;;;;;;;;;;;;;;;;;;;PN G244.5+12.5,A 29,PK 244+12 1,A55 19,ESO 563-09,VV' 79;
Abell 30;PN;08:46:54.40;+17:52:32.8;Cnc;2.12;;;;;;;;;;;;;;;;;;;;;;PN G208.5+33.2,A 30,PK 208+33 1;
Abell 31;PN;08:54:13.15;+08:53:58.9;Cnc;16.17;;;;;;;;;;;;;;;;;;;;;;PN G219.1+31.2,A 31,PK 219+31 1,A55 20,ARO 135,Sh 2-290,VV' 81;
Abell 32;PN;09:16:24.80;+03:53:26.0;Hya;;;;;;;;;;;;;;;;;;;;;;;PN A66 32;
Abell 33;PN;09:39:09.02;-02:48:32.5;Hya;4.50;;;;;;;;;;;;;;;;;;;;;;PN G238.0+34.8,A 33,PK 238+34 1,A55 22,ARO 65,VV' 91;
Abell 34;PN;09:45:35.11;-13:10:13.7;Hya;4.83;;;;;;;;;;;;;;;;;;;;;;PN G248.7+29.5,A 34,PK 248+29 1,A55 23,VV' 93;
Abell 35;PN;12:53:41.40;-22:51:42.1;Hya;12.83;;;;;;;;;;;;;;;;;;;;;;PN G303.6+40.0,A 35,PK 303+40 1,A55 24,Sh 2-313,VV' 112;
Abell 36;PN;13:40:41.25;-19:52:56.5;Vir;6.17;;;;;;;;;;;;;;;;;;;;;;PN G318.4+41.4,A 36,PK 318+41 1,A55 25,ESO 577-24,VV' 116;
Abell 37;PN;14:04:25.92;-17:13:40.6;Vir;;;;;;;;;;;;;;;;;;;;;;;PN A66 37;
Abell 38;PN;16:23:17.30;-31:44:56.8;Sco;1.53;;;;;;;;;;;;;;;;;;;;;;PN G346.9+12.4,K 1- 3,PK 346+12 1,A 38,ESO 452-01,Wray 19- 45;
Abell 39;PN;16:27:33.43;+27:54:34.7;Her;2.90;;;;;;;;;;;;;;;;;;;;;;PN G047.0+42.4,A 39,PK 47+42 1,A55 27,ARO 180,VV' 140;
Abell 40;PN;16:48:33.90;-21:00:39.5;Oph;0.57;;;;;;;;;;;;;;;;;;;;;;PN G359.1+15.1,A 40,PK 359+15 1,A55 28,ESO 586-03,VV' 145;
Abell 41;PN;17:29:03.76;-15:13:21.1;Ser;0.31;;;;;;;;;;;;;;;;;;;;;;PN G009.6+10.5,A 41,PK 9+10 1,A55 29,He 2- 236,Sa 2-205,VV' 202;
Abell 42;PN;17:31:31.45;-08:19:10.1;Oph;1.00;;;;;;;;;;;;;;;;;;;;;;PN G016.0+13.5,A 42,PK 16+13 1,A55 30,VV' 213;
Abell 43;PN;17:53:32.36;+10:37:19.7;Oph;1.33;;;;;;;;;;;;;;;;;;;;;;PN G036.0+17.6,A 43,PK 36+17 1,A55 31,ARO 181,VV' 284;
Abell 44;PN;18:30:11.27;-16:45:26.7;Sgr;0.88;;;;;;;;;;;;;;;;;;;;;;PN G015.6-03.0,A 44,PK 15-03 1,A55 32,ARO 278,VV' 413;
Abell 45;PN;18:30:17.43;-11:36:54.0;Sct;4.75;;;;;;;;;;;;;;;;;;;;;;PN G020.2-00.6,A 45,PK 20-00 1,A55 33,VV' 415;
