Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Arp 1;G;09:24:37.60;+49:21:24.0;UMa;2.3;2.0;;;12.2;;;;;SA(s)c I-II;;;;;;;;;;2857;;;NGC 2857;
Arp 2;G;16:16:18.20;+47:02:47.0;Her;2.8;2.2;;;13.2;;;;;SB(s)m IV-V;;;;;;;;;;;;;UGC 10310;
Arp 3;G;22:36:34.00;-02:54:19.0;Aqr;2.5;2.1;;;13.4;;;;;SA(s)m;;;;;;;;;;;;;MCG-01-57-016;
Arp 4;G;01:48:25.60;-12:22:55.0;Cet;2.8;2.4;;;13.7;;;;;IAB(rs)m;;;;;;;;;;;;;MCG-02-05-50 +A;
Arp 5;G;11:24:24.80;+03:19:39.0;Leo;2.1;1.9;;;12.8;;;;;SB(s)m pec;;;;;;;;;;3664;;;NGC 3664;
Arp 6;G;08:13:14.60;+45:59:28.0;Lyn;1.7;1.5;;;12.3;;;;;SB(s)m pec;;;;;;;;;;2537;;;NGC 2537;
Arp 7;G;08:50:17.60;-16:34:35.0;Hya;1.3;1.0;;;14.5;;;;;SB(rs) bc:;;;;;;;;;;;;;MCG-03-23-009;
Arp 8;G;01:22:23.20;-00:52:29.0;Cet;2.1;0.9;;;13.0;;;;;SB(r)b I-II;;;;;;;;;;0497;;;NGC 0497;
Arp 9;G;08:14:59.30;+73:34:49.0;Cam;3.0;1.8;;;11.9;;;;;SB(r)bc I;;;;;;;;;;2523;;;NGC 2523;
Arp 10;G;02:18:26.30;+05:39:14.0;Cet;1.5;1.5;;;13.8;;;;;S?;;;;;;;;;;;;;UGC 01775;
Arp 11;G;01:09:23.10;+14:20:12.0;Psc;1.5;1.0;;;14.4;;;;;SBb;;;;;;;;;;;;;UGC 00717;
Arp 12;G;08:35:17.30;+28:28:24.0;Cnc;2.3;1.4;;;12.2;;;;;SB(s)b: II;;;;;;;;;;2608;;;NGC 2608;
Arp 13;G;23:00:02.40;+15:59:22.0;Peg;2.7;1.2;;;11.6;;;;;SA(rs)bc;;;;;;;;;;7448;;;NGC 7448;
Arp 14;G;22:35:45.70;-26:03:03.0;PsA;4.6;2.1;;;10.9;;;;;SAB(rs)c: II;;;;;;;;;;7314;;;NGC 7314;
Arp 15;G;22:51:39.30;-05:33:28.0;Aqr;2.0;0.9;;;12.6;;;;;SAB?(r:)b?;;;;;;;;;;7393;;;NGC 7393;
Arp 16;G;11:20:14.90;+12:59:21.0;Leo;9.1;4.2;;;8.9;;;;;SAB(s)b II;;;;;;;;;;;;;MESSIER 66;
Arp 17;G;07:44:32.70;+73:49:50.0;Cam;0.9;0.6;;;14.7;;;;;SB;;;;;;;;;;;;;UGC 03972,UGC 03972;
Arp 18;G;12:05:35.30;+50:32:31.0;UMa;5.8;2.3;;;10.5;;;;;SAB(rs)bc;;;;;;;;;;4088;;;NGC 4088;
Arp 19;G;00:31:45.00;-05:09:12.0;Cet;1.8;1.3;;;13.2;;;;;SB(s)dm;;;;;;;;;;0145;;;NGC 0145;
Arp 20;G;04:19:53.70;+02:05:43.0;Tau;1.2;0.7;;;14.4;;;;;SB?;;;;;;;;;;;;;UGC 03014;
Arp 21;G;11:04:58.50;+30:01:37.0;LMi;0.8;0.7;;;14.7;;;;;Spiral;;;;;;;;;;;;;CGCG 155-056;
Arp 22;G;11:59:29.50;-19:19:54.0;Crv;0.9;0.6;;;14.9;;;;;IB(s)m;;;;;;;;;;4027;;;ESO 572-G036,NGC 4027;
Arp 23;G;12:41:32.40;+41:09:02.0;CVn;4.2;3.4;;;10.8;;;;;SB(rs)m;;;;;;;;;;4618;;;NGC 4618;
Arp 24;G;10:54:36.40;+56:59:27.0;UMa;1.6;1.5;;;12.6;;;;;SAB(s)m;;;;;;;;;;3445;;;NGC 3445,UGC 06021;
Arp 25;G;07:27:13.00;+85:45:20.0;Cep;2.8;2.7;;;11.4;;;;;SAB(rs)c;;;;;;;;;;2276;;;NGC 2276;
Arp 26;G;14:03:12.70;+54:21:02.0;UMa;28.9;27.0;;;7.9;;;;;SAB(rs)cd I;;;;;;;;;;;;;MESSIER 101;
Arp 27;G;11:21:02.60;+53:10:16.0;UMa;5.0;4.8;;;10.4;;;;;SA(s)c I-II;;;;;;;;;;3631;;;NGC 3631;
Arp 28;G;23:28:27.80;+22:25:16.0;Peg;2.4;1.7;;;11.8;;;;;SAB(rs)c I-II;;;;;;;;;;7678;;;NGC 7678;
Arp 29;G;20:34:52.20;+60:09:14.0;Cyg;11.6;9.9;;;8.8;;;;;SAB(rs)cd;;;;;;;;;;6946;;;NGC 6946;
Arp 30;G;17:22:42.90;+62:10:27.0;Dra;1.3;;;;12.2;;;;;Sdm;;;;;;;;;;6365;;;NGC 6365,NGC 6365A;
Arp 31;G;01:51:08.20;+21:54:51.0;Ari;2.9;1.9;;;13.6;;;;;SAB(s)c;;;;;;;;;;;0167;;IC 0167;
Arp 32;G;17:13:07.60;+59:19:23.0;Dra;;;;;14.4;;;;;I9P;;;;;;;;;;;;;UGC 10770A,UGC 10770B;
Arp 33;G;13:37:24.10;+06:26:10.0;Vir;1.4;0.6;;;15.3;;;;;SB;;;;;;;;;;;;;UGC 08613,UGC 08613;
Arp 34;G;12:41:37.40;+26:04:20.0;Com;1.6;0.7;;;13.1;;;;;Scd:;;;;;;;;;;4615;;;NGC 4615;
Arp 35;G;00:22:21.40;-01:20:47.0;Psc;;;;;15.5;;;;;SP;;;;;;;;;;;;;UGC 00212,UGC 00212;
Arp 36;G;13:34:14.90;+31:25:31.0;CVn;1.3;0.6;;;15.0;;;;;SB?;;;;;;;;;;;;;UGC 08548;
Arp 37;G;02:42:40.70;-00:00:47.0;Cet;7.1;6.1;;;8.9;;;;;(R)SAB(rs)ab;;;;;;;;;;;;;MESSIER 77;
Arp 38;G;17:29:36.20;+75:42:17.0;Dra;2.5;2.2;;;11.7;;;;;SAS5;;;;;;;;;;6412;;;NGC 6412;
Arp 39;G;03:29:42.00;-22:16:45.0;Eri;1.6;1.3;;;13.0;;;;;SB(s)c: pec;;;;;;;;;;1347;;;NGC 1347;
Arp 40;G;13:29:20.40;+37:24:31.0;CVn;0.8;0.5;;;15.0;;;;;Pair;;;;;;;;;;;4271;;IC 4271;
Arp 41;G;03:09:45.30;-20:34:44.0;Eri;7.5;6.5;;;10.1;;;;;SAB(rs)c I-II;;;;;;;;;;1232;;;NGC 1232,NGC 1232A;
Arp 42;G;15:02:38.30;+23:20:56.0;Boo;0.4;0.4;;;15.5;;;;;;;;;;;;;;;5829;4526;;IC 4526,NGC 5829;
Arp 43;G;10:24:15.40;+16:44:36.0;Leo;1.8;1.5;;;13.2;;;;;SB(r)bc;;;;;;;;;;;0607;;IC 0607;
Arp 44;G;10:25:32.70;-02:13:16.0;Sex;1.5;0.7;;;14.1;;;;;IBS9P;;;;;;;;;;;0609;;IC 0609;
Arp 45;G;14:19:27.00;+51:55:15.0;Boo;0.7;0.3;;;15.4;;;;;SB?;;;;;;;;;;;;;UGC 09178,UGC 09178;
Arp 46;G;23:33:41.10;+30:02:35.0;Peg;1.2;0.9;;;15.0;;;;;SBT7P;;;;;;;;;;;;;UGC 12665;
Arp 47;G;14:47:12.50;+18:51:33.0;Boo;;;;;16.6;;;;;;;;;;;;;;;;;;CGCG 105-026,ARP 047;
Arp 48;G;01:19:56.60;+12:20:44.0;Psc;;;;;15.7;;;;;Pair;;;;;;;;;;;;;CGCG 436-026;
Arp 49;G;14:32:25.50;+08:04:46.0;Boo;1.9;1.4;;;12.0;;;;;SAB(rs)c pec?;;;;;;;;;;5665;;;NGC 5665;
Arp 50;G;23:57:58.00;-14:01:48.0;Cet;0.5;0.5;;;14.0;;;;;;;;;;;;;;;;1520;;IC 1520;
Arp 51;G;00:06:16.80;-13:26:53.0;Cet;0.8;;;;15.0;;;;;;;;;;;;;;;;;;MGC-02-01-24;
Arp 52;G;05:19:44.00;+03:43:01.0;Ori;;;;;15.6;;;;;;;;;;;;;;;;;;CGCG 421-027;
Arp 53;G;10:35:17.20;-17:16:30.0;Hya;1.0;0.5;;;14.4;;;;;SA(rs:)c: pec;;;;;;;;;;3290;;;NGC 3290;
Arp 54;G;02:23:59.10;-04:41:48.0;Cet;0.5;0.3;;;17.1;;;;;;;;;;;;;;;;;;PGC 9107,MCG-01-07-007;
Arp 55;G;09:15:55.60;+44:19:57.0;Lyn;1.0;0.9;;;14.9;;;;;Spiral;;;;;;;;;;;;;UGC 04881,UGC 04881;
Arp 56;G;01:57:25.70;+17:13:03.0;Ari;0.9;0.6;;;14.6;;;;;Sbc;;;;;;;;;;;;;UGC 01432;
Arp 57;G;13:16:40.10;+14:26:12.0;Com;0.9;0.6;;;15.5;;;;;;;;;;;;;;;;;;MCG+03-34-012,CGCG 101-019;
Arp 58;G;08:31:58.10;+19:12:48.0;Cnc;1.8;1.0;;;14.2;;;;;SXT5P;;;;;;;;;;;;;UGC 04457;
Arp 59;G;01:00:45.70;-09:11:08.0;Cet;1.1;;;;14.5;;;;;SAB(r)bc II;;;;;;;;;;0341;;;NGC 0341A,NGC 0341B;
Arp 60;G;13:14:47.30;+26:05:09.0;Com;;;;;16.3;;;;;Spiral;;;;;;;;;;;;;ARP 060;
Arp 61;G;04:36:42.00;-02:17:13.0;Eri;1.0;0.5;;;15.1;;;;;Sa;;;;;;;;;;;;;UGC 03104;
Arp 62;G;11:53:35.90;+43:27:18.0;UMa;1.2;0.5;;;;;;;;E(c);;;;;;;;;;;;;UGC 06865,UGC 06865;
Arp 63;G;09:39:16.70;+32:18:38.0;Leo;1.1;0.4;;;14.0;;;;;SB(s)c pec?;;;;;;;;;;2944;;;NGC 2944,NGC 2944;
Arp 64;G;14:45:25.90;+19:27:53.0;Boo;1.5;0.4;;;15.0;;;;;Triple;;;;;;;;;;;;;UGC 09503;
Arp 65;G;00:21:51.70;+22:24:01.0;And;2.2;;;;13.7;;;;;SAB(S)c pec I;;;;;;;;;;0091;;;NGC 0091;
Arp 66;G;16:26:52.90;+51:33:20.0;Dra;1.2;0.7;;;14.6;;;;;S4;;;;;;;;;;;;;UGC 10396;
Arp 67;G;01:21:16.80;-00:32:42.0;Cet;1.6;1.5;;;14.0;;;;;SB(r)ab;;;;;;;;;;;;;UGC 00892;
Arp 68;G;23:48:45.10;+04:10:24.0;Psc;2.5;1.8;;;12.7;;;;;SAB(rs)c;;;;;;;;;;7757;;;NGC 7757;
Arp 69;G;14:20:26.40;+35:11:19.0;Boo;1.9;1.4;;;13.6;;;;;SABcd 110;;;;;;;;;;5579;;;NGC 5579;
Arp 70;G;01:23:26.80;+30:46:20.0;Psc;;;;;17.0;;;;;;;;;;;;;;;;;;UGC 00934,UGC 00934;
Arp 71;G;16:05:07.80;+17:45:27.0;Her;1.3;0.3;;;13.9;;;;;SB(s)c;;;;;;;;;;6045;;;NGC 6045;
Arp 72;G;15:46:53.20;+17:52:21.0;Ser;0.4;0.2;;;14.2;;;;;SB?;;;;;;;;;;5994,5996;;;NGC 5994,NGC 5996;
Arp 73;G;16:35:08.90;+46:12:50.0;Her;1.7;1.4;;;13.5;;;;;SXS5;;;;;;;;;;;1222;;IC 1222;
Arp 74;G;02:08:21.30;+41:28:46.0;And;1.6;1.5;;;14.1;;;;;(R')SA:pec;;;;;;;;;;;;;UGC 01626;
Arp 75;G;01:51:18.30;-04:03:21.0;Cet;1.6;1.2;;;11.9;;;;;SAB(s)b: pec;;;;;;;;;;0702;;;NGC 0702;
Arp 76;G;12:36:49.80;+13:09:46.0;Vir;9.7;4.4;;;9.5;;;;;SAB(rs)ab;;;;;;;;;;;;;MESSIER 90;
Arp 77;G;02:46:09.90;-30:13:45.0;For;0.8;0.5;;;13.6;;;;;E5 pec;;;;;;;;;;1097;;;NGC 1097A,NGC 1097;
Arp 78;G;01:59:13.60;+18:57:16.0;Ari;1.1;0.7;;;13.9;;;;;E3;;;;;;;;;;0770,0772;;;NGC 0770,NGC 0772;
Arp 79;G;14:10:07.00;+17:36:55.0;Boo;1.2;0.8;;;13.9;;;;;SB(s)bc;;;;;;;;;;5490;;;NGC 5490C;
Arp 80;G;08:48:06.60;+74:05:58.0;Cam;2.5;1.6;;;12.2;;;;;SB(s)b I-II;;;;;;;;;;2633;;;NGC 2633;
Arp 81;G;18:12:54.60;+68:21:50.0;Dra;2.1;0.8;;;12.8;;;;;Sb: pec;;;;;;;;;;6621,6622;;;NGC 6621,NGC 6622;
Arp 82;G;08:11:13.50;+25:12:26.0;Cnc;2.5;1.2;;;12.8;;;;;SA(r)c pec I;;;;;;;;;;2535,2536;;;NGC 2535,NGC 2536;
Arp 83;G;11:40:09.40;+15:19:38.0;Leo;0.8;0.5;;;14.0;;;;;SB(s)b: pec;;;;;;;;;;3799,3800;;;NGC 3799,NGC 3800;
Arp 84;G;13:58:33.90;+37:27:13.0;CVn;1.8;1.0;;;13.0;;;;;SB(s)b pec;;;;;;;;;;5394,5395;;;NGC 5394,NGC 5395;
Arp 85;G;13:29:52.30;+47:11:54.0;CVn;11.4;7.0;;;8.4;;;;;SA(s)bc pec;;;;;;;;;;;;;MESSIER 51A,MESSIER 51B;
Arp 86;G;23:46:58.50;+29:27:32.0;Peg;0.8;0.5;;;14.3;;;;;I0:;;;;;;;;;;7752,7753;;;NGC 7752,NGC 7753;
Arp 87;G;11:40:44.10;+22:25:40.0;Leo;1.7;0.9;;;13.4;;;;;SAB(rs)c pec;;;;;;;;;;3808;;;NGC 3808,NGC 3808A;
Arp 88;G;01:19:05.60;+12:28:45.0;Psc;;;;;;;;;;Spiral;;;;;;;;;;;;;VV 445;
Arp 89;G;08:42:40.10;+14:17:09.0;Cnc;3.3;1.1;;;12.7;;;;;S1;;;;;;;;;;2648;;;NGC 2648;
Arp 90;G;15:26:06.10;+41:40:14.0;Boo;1.0;0.9;;;13.6;;;;;SAB(s)bc I-II;;;;;;;;;;5929,5930;;;NGC 5929,NGC 5930;
Arp 91;G;15:34:32.30;+15:11:42.0;Ser;1.6;1.4;;;12.1;;;;;SAa: pec;;;;;;;;;;5953,5954;;;NGC 5953,NGC 5954;
Arp 92;G;23:18:56.60;+00:14:38.0;Psc;1.6;1.0;;;13.2;;;;;SA(rs)0+: pec;;;;;;;;;;7603;;;NGC 7603;
Arp 93;G;22:28:36.00;-24:50:39.0;Aqr;2.1;1.5;;;11.9;;;;;SB(s)0^0 pec;;;;;;;;;;7284,7285;;;NGC 7284,NGC 7285;
Arp 94;G;10:23:26.90;+19:53:54.0;Leo;3.2;2.8;;;11.4;;;;;E2: pec;;;;;;;;;;3226,3227;;;NGC 3226,NGC 3227;
Arp 95;G;14:34:54.90;+26:29:55.0;Boo;0.4;0.2;;;15.8;;;;;S;;;;;;;;;;;4461,4462;;MCG+5-34-76,IC 4461,IC 4462;
Arp 96;G;07:03:00.70;+86:36:12.0;Cep;0.8;0.6;;;14.8;;;;;DBL SYS;;;;;;;;;;;;;UGC 03528A,UGC 03536A;
Arp 97;G;12:05:45.30;+31:03:35.0;UMa;2.7;1.0;;;15.6;;;;;SA(r)0- pec;;;;;;;;;;;;;UGC 07085A,UGC 07085A;
Arp 98;G;01:32:08.50;+32:06:13.0;Tri;1.1;0.5;;;16.0;;;;;;;;;;;;;;;;;;UGC 01095,UGC 01095;
Arp 99;G;23:15:03.60;+18:58:23.0;Peg;1.1;0.5;;;13.7;;;;;(R')SAB(s)0/a:;;;;;;;;;;7547,7549,7550;;;NGC 7547,NGC 7550,NGC 7549;
Arp 100;G;00:28:38.10;-11:34:25.0;Cet;1.5;0.8;;;15.0;;;;;;;;;;;;;;;;0018,0019;;IC 0018,IC 0019;
Arp 101;G;16:04:24.30;+14:46:51.0;Ser;1.1;0.9;;;15.5;;;;;E?;;;;;;;;;;;;;UGC 10164,UGC 10169;
Arp 102;G;17:19:14.40;+48:58:49.0;Her;0.9;0.7;;;15.5;;;;;Sc irr;;;;;;;;;;;;;UGC 10814A,UGC 10814B,MCG+08-31-042;
Arp 103;G;16:49:26.00;+45:27:30.0;Her;1.4;;;;14.6;;;;;S0 pec;;;;;;;;;;;;;UGC 10586,UGC 10586,UGC 10586;
Arp 104;G;13:32:07.80;+62:42:03.0;UMa;2.5;1.5;;;12.6;;;;;E0 pec;;;;;;;;;;5216,5218;;;NGC 5216,NGC 5218;
Arp 105;G;11:11:12.90;+28:42:42.0;UMa;0.9;;;;14.7;;;;;DBL SYS;;;;;;;;;;3561;;;UGC 06224,NGC 3561;
Arp 106;G;12:15:35.90;+28:10:38.0;Com;1.0;;;;13.6;;;;;S0/a pec;;;;;;;;;;4211;;;NGC 4211,NGC 4211A;
Arp 107;G;10:52:18.30;+30:04:03.0;LMi;1.9;1.2;;;14.6;;;;;S?;;;;;;;;;;;;;UGC 05984,UGC 05984;
Arp 108;G;03:03:05.50;-22:13:02.0;Eri;0.6;0.4;;;15.0;;;;;S0:;;;;;;;;;;;;;ESO 547-G002,ESO 547-G003;
