Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
B1;DrkN;03:32:57.41;+31:09:33.1;Per;30.0;;;;;;;;;;;;;;;;;;;;;;;
B2;DrkN;03:33:31.27;+32:19:28.2;Per;20.0;;;;;;;;;;;;;;;;;;;;;;;
B3;DrkN;03:40:01.92;+31:58:31.4;Per;20.0;;;;;;;;;;;;;;;;;;;;;;;
B4;DrkN;03:44:02.40;+31:47:55.7;Per;;;;;;;;;;;;;;;;;;;;;;;;
B5;DrkN;03:47:53.06;+32:53:21.5;Per;60.0;;;;;;;;;;;;;;;;;;;;;;;
B6;DrkN;03:56:23.38;+56:07:12.7;Cam;;;;;;;;;;;;;;;;;;;;;;;;
B7;DrkN;04:17:24.96;+28:33:42.5;Tau;;;;;;;;;;;;;;;;;;;;;;;;
B8;DrkN;04:17:50.86;+55:14:48.8;Cam;;;;;;;;;;;;;;;;;;;;;;;;
B9;DrkN;04:18:56.90;+55:03:38.2;Cam;;;;;;;;;;;;;;;;;;;;;;;;
B10;DrkN;04:18:41.23;+28:16:30.0;Tau;8.0;;;;;;;;;;;;;;;;;;;;;;;
B11;DrkN;04:26:37.25;+55:02:22.6;Cam;;;;;;;;;;;;;;;;;;;;;;;;
B12;DrkN;04:29:47.38;+54:14:50.6;Cam;24.0;;;;;;;;;;;;;;;;;;;;;;;
B13;DrkN;04:31:18.10;+54:53:35.9;Cam;11.0;;;;;;;;;;;;;;;;;;;;;;;
B14;DrkN;04:39:59.02;+25:44:56.4;Tau;3.0;;;;;;;;;;;;;;;;;;;;;;;
B15;DrkN;04:31:55.94;+46:37:25.0;Per;13.0;;;;;;;;;;;;;;;;;;;;;;;
B16;DrkN;04:32:26.02;+46:36:20.2;Per;;;;;;;;;;;;;;;;;;;;;;;;
B17;DrkN;04:32:30.55;+46:31:19.2;Per;;;;;;;;;;;;;;;;;;;;;;;;
B18;DrkN;04:31:13.30;+24:21:24.5;Tau;60.0;;;;;;;;;;;;;;;;;;;;;;;
B19;DrkN;04:33:39.89;+26:16:00.5;Tau;60.0;;;;;;;;;;;;;;;;;;;;;;;
B20;DrkN;04:37:04.49;+50:58:35.4;Per;60.0;;;;;;;;;;;;;;;;;;;;;;;
B21;DrkN;04:37:57.60;+55:21:29.5;Cam;10.0;;;;;;;;;;;;;;;;;;;;;;;
B22;DrkN;04:38:39.86;+26:03:09.7;Tau;120.0;;;;;;;;;;;;;;;;;;;;;;;
B23;DrkN;04:40:33.43;+29:52:51.6;Tau;5.0;;;;;;;;;;;;;;;;;;;;;;;
B24;DrkN;04:42:53.28;+29:44:27.6;Tau;8.0;;;;;;;;;;;;;;;;;;;;;;;
B25;DrkN;04:52:04.06;+46:00:59.4;Aur;8.0;;;;;;;;;;;;;;;;;;;;;;;
B26;DrkN;04:54:38.18;+30:37:26.4;Aur;5.0;;;;;;;;;;;;;;;;;;;;;;;
B27;DrkN;04:55:07.99;+30:33:21.2;Aur;5.0;;;;;;;;;;;;;;;;;;;;;;;
B28;DrkN;04:55:52.42;+30:38:13.6;Aur;4.0;;;;;;;;;;;;;;;;;;;;;;;
B29;DrkN;05:06:23.35;+31:35:23.3;Aur;10.0;;;;;;;;;;;;;;;;;;;;;;;
B30;DrkN;05:30:16.49;+12:46:02.3;Ori;67.0;;;;;;;;;;;;;;;;;;;;;;;
B31;DrkN;05:32:01.54;+12:45:43.2;Ori;30.0;;;;;;;;;;;;;;;;;;;;;;;
B32;DrkN;05:32:08.52;+12:25:41.9;Ori;;;;;;;;;;;;;;;;;;;;;;;;
B33;DrkN;05:40:52.94;-02:27:56.9;Ori;4.0;;;;;;;;;;;;;;;;;;;;;;;Horsehead Nebula
B34;DrkN;05:43:30.65;+32:38:44.5;Aur;20.0;;;;;;;;;;;;;;;;;;;;;;;
B35;DrkN;05:45:30.65;+09:03:15.5;Ori;15.0;;;;;;;;;;;;;;;;;;;;;;;
B36;DrkN;05:49:45.86;+07:25:28.9;Ori;120.0;;;;;;;;;;;;;;;;;;;;;;;
B37;DrkN;06:32:54.96;+10:28:39.0;Mon;175.0;;;;;;;;;;;;;;;;;;;;;;;
