Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
Sh2-1;HII;15:58:51.21;-26:07:13.7;Sco;150;;;;;;;;;;;;;;;;;;;;;;;
Sh2-2;HII;17:04:06.62;-38:08:32.9;Sco;60;;;;;;;;;;;;;;;;;;;;;;;
Sh2-3;HII;17:13:45.03;-38:30:11.1;Sco;12;;;;;;;;;;;;;;;;;;;;;;;
Sh2-4;HII;17:19:48.78;-39:20:19.4;Sco;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-5;HII;17:20:03.46;-38:27:17.1;Sco;100;;;;;;;;;;;;;;;;;;;;;;;
Sh2-6;HII;17:15:04.11;-37:06:59.5;Sco;4;;;;;;;;;;;;;;;;;;;;;;;
Sh2-7;HII;16:00:19.77;-22:57:02.1;Sco;240;;;;;;;;;;;;;;;;;;;;;;;
Sh2-8;HII;17:21:24.84;-36:02:04.8;Sco;120;;;;;;;;;;;;;;;;;;;;;;;
Sh2-9;HII;16:21:10.90;-25:35:21.8;Sco;80;;;;;;;;;;;;;;;;;;;;;;;
Sh2-10;HII;17:19:00.01;-34:05:25.1;Sco;60;;;;;;;;;;;;;;;;;;;;;;;
Sh2-11;HII;17:26:30.95;-34:12:20.4;Sco;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-12;HII;17:35:56.18;-32:35:58.5;Sco;120;;;;;;;;;;;;;;;;;;;;;;;
Sh2-13;HII;17:30:28.56;-31:33:45.6;Sco;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-14;HII;17:30:18.48;-30:15:46.7;Sco;2;;;;;;;;;;;;;;;;;;;;;;;
Sh2-15;HII;17:50:34.39;-31:15:50.7;Sco;30;;;;;;;;;;;;;;;;;;;;;;;
Sh2-16;HII;17:47:52.21;-29:18:13.9;Sgr;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-17;HII;17:46:08.81;-28:51:28.8;Sgr;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-18;HII;17:48:46.07;-29:15:06.0;Sgr;4;;;;;;;;;;;;;;;;;;;;;;;
Sh2-19;HII;17:49:21.67;-29:07:00.8;Sgr;12;;;;;;;;;;;;;;;;;;;;;;;
Sh2-20;HII;17:49:14.31;-28:40:01.8;Sgr;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-21;HII;17:51:39.05;-28:53:40.8;Sgr;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-22;HII;17:55:03.78;-25:02:10.1;Sgr;60;;;;;;;;;;;;;;;;;;;;;;;
Sh2-23;HII;16:13:24.63;-08:22:20.0;Sco;50;;;;;;;;;;;;;;;;;;;;;;;
Sh2-24;HII;16:11:03.82;-07:04:38.0;Oph;30;;;;;;;;;;;;;;;;;;;;;;;
Sh2-25;HII;18:05:26.04;-24:23:39.3;Sgr;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-26;HII;17:58:59.03;-23:19:35.5;Sgr;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-27;HII;16:37:12.42;-10:34:10.9;Oph;480;;;;;;;;;;;;;;;;;;;;;;;
Sh2-28;HII;18:02:41.77;-23:35:03.1;Sgr;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-29;HII;18:10:30.92;-23:59:54.8;Sgr;40;;;;;;;;;;;;;;;;;;;;;;;
Sh2-30;HII;18:03:34.20;-23:00:55.3;Sgr;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-31;HII;18:11:18.35;-23:47:47.8;Sgr;8;;;;;;;;;;;;;;;;;;;;;;;
Sh2-32;HII;18:10:53.94;-23:38:51.4;Sgr;8;;;;;;;;;;;;;;;;;;;;;;;
Sh2-33;HII;15:59:52.39;-01:37:02.6;Ser;35;;;;;;;;;;;;;;;;;;;;;;;
Sh2-34;HII;18:06:24.50;-21:39:30.2;Sgr;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-35;HII;18:15:50.70;-20:15:07.5;Sgr;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-36;HII;16:05:30.35;+00:23:40.3;Ser;45;;;;;;;;;;;;;;;;;;;;;;;
Sh2-37;HII;18:17:43.13;-19:39:51.0;Sgr;20;;;;;;;;;;;;;;;;;;;;;;;
Sh2-38;HII;18:08:45.55;-18:16:09.0;Sgr;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-39;HII;18:16:46.50;-18:38:59.1;Sgr;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-40;HII;18:12:02.19;-17:44:40.3;Sgr;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-41;HII;18:15:51.43;-18:14:07.0;Sgr;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-42;HII;18:10:17.82;-16:48:55.3;Sgr;3;;;;;;;;;;;;;;;;;;;;;;;
Sh2-43;HII;18:16:25.28;-17:24:01.9;Sgr;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-44;HII;18:16:29.58;-16:44:01.2;Sgr;60;;;;;;;;;;;;;;;;;;;;;;;
Sh2-45;HII;18:20:46.13;-16:10:23.7;Sgr;60;;;;;;;;;;;;;;;;;;;;;;;
Sh2-46;HII;18:06:11.15;-14:09:30.8;Ser;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-47;HII;18:17:44.75;-15:36:50.0;Ser;5;;;;;;;;;;;;;;;;;;;;;;;
Sh2-48;HII;18:22:24.14;-14:35:09.2;Sct;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-49;HII;18:18:40.62;-13:57:41.6;Ser;90;;;;;;;;;;;;;;;;;;;;;;;
Sh2-50;HII;18:25:30.42;-14:42:42.2;Sct;35;;;;;;;;;;;;;;;;;;;;;;;
Sh2-51;HII;18:40:46.74;-16:33:30.1;Sgr;35;;;;;;;;;;;;;;;;;;;;;;;
