Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
vdB 1;RfN;00:10:46.37;+58:46:10.3;Cas;;;;;8.60;;;;;;;;;;;;;;;;;;BD+57   22,HD 627;
vdB 2;RfN;00:13:24.20;+65:36:48.4;Cas;;;;;9.50;;;;;;;;;;;;;;;;;;BD+64   13;
vdB 3;RfN;00:34:37.37;+69:26:04.6;Cas;;;;;8.50;;;;;;;;;;;;;;;;;;BD+68   34,HD 3037;
vdB 4;RfN;00:43:18.26;+61:54:40.1;Cas;;;;;9.50;;;;;;;;;;;;;;;;;;BD+61  154;
vdB 5;RfN;00:56:42.53;+60:43:00.3;Cas;;;;;2.57;;;;;;;;;;;;;;;;;;BD+59  144,HD 5394;
vdB 6;RfN;01:43:43.36;+61:50:03.6;Cas;;;;;9.20;;;;;;;;;;;;;;;;;;BD+61  315;
vdB 7;RfN;02:48:55.51;+69:38:03.4;Cas;;;;;6.50;;;;;;;;;;;;;;;;;;BD+69  179,HD 17138;
vdB 8;RfN;02:51:32.77;+67:48:54.2;Cas;;;;;8.50;;;;;;;;;;;;;;;;;;BD+67  230,HD 17443;
vdB 9;RfN;02:51:58.75;+68:53:18.6;Cas;;;;;5.96;;;;;;;;;;;;;;;;;;BD+68  200,HD 17463;
vdB 10;RfN;03:15:47.97;+57:08:26.2;Per;;;;;6.00;;;;;;;;;;;;;;;;;;BD+56  798,HD 20041;
vdB 11;RfN;03:24:14.19;+61:32:18.9;Cam;;;;;8.37;;;;;;;;;;;;;;;;;;BD+61  570,HD 20798;
vdB 12;RfN;03:25:23.92;+31:43:52.0;Per;;;;;7.00;;;;;;;;;;;;;;;;;;BD+31  597,HD 21110;
vdB 13;RfN;03:25:50.10;+30:55:54.2;Ari;;;;;8.80;;;;;;;;;;;;;;;;;;BD+30  540;
vdB 14;RfN;03:29:04.13;+59:56:25.2;Cam;;;;;4.23;;;;;;;;;;;;;;;;;;BD+59  660,HD 21291;
vdB 15;RfN;03:29:54.74;+58:52:43.5;Cam;;;;;4.58;;;;;;;;;;;;;;;;;;BD+58  607,HD 21389;
vdB 16;RfN;03:28:20.90;+29:47:57.3;Ari;;;;;9.10;;;;;;;;;;;;;;;;;;BD+29  565;
vdB 17;RfN;03:29:19.78;+31:24:57.0;Per;;;;;9.50;;;;;;;;;;;;;;;;;;BD+30  549;
vdB 18;RfN;03:35:11.87;+38:00:54.6;Per;;;;;7.58;;;;;;;;;;;;;;;;;;BD+37  794,HD 22114;
vdB 19;RfN;03:44:34.19;+32:09:46.1;Per;;;;;8.53;;;;;;;;;;;;;;;;;;BD+31  643,HD 281159;
vdB 20;RfN;03:44:52.54;+24:06:48.0;Tau;;;;;3.71;;;;;;;;;;;;;;;;;;BD+23  507,HD 23302;
vdB 21;RfN;03:45:49.61;+24:22:03.9;Tau;;;;;3.88;;;;;;;;;;;;;;;;;;BD+23  516,HD 23408;
vdB 22;RfN;03:46:19.57;+23:56:54.1;Tau;;;;;4.18;;;;;;;;;;;;;;;;;;BD+23  522,HD 23480;
vdB 23;RfN;03:47:29.08;+24:06:18.5;Tau;;;;;2.87;;;;;;;;;;;;;;;;;;BD+23  541,HD 23630;
vdB 24;RfN;03:49:36.34;+38:58:55.5;Per;;;;;8.80;;;;;;;;;;;;;;;;;;BD+38  811,HD 275877;
vdB 25;RfN;04:12:25.00;+23:34:28.5;Tau;;;;;7.50;;;;;;;;;;;;;;;;;;BD+23  642,HD 26514;
vdB 26;RfN;04:13:34.57;+10:12:44.9;Tau;;;;;7.20;;;;;;;;;;;;;;;;;;BD+09  549,HD 26676;
vdB 27;RfN;04:21:57.41;+28:26:35.6;Tau;;;;;9.10;;;;;;;;;;;;;;;;;;BD+28  645,HD 283571;
vdB 28;RfN;04:21:59.43;+19:32:06.4;Tau;;;;;9.40;;;;;;;;;;;;;;;;;;BD+19  706,HD 284419;
vdB 29;RfN;04:48:22.74;+29:46:22.8;Tau;;;;;6.50;;;;;;;;;;;;;;;;;;BD+29  741,HD 30378;
vdB 30;RfN;04:54:03.01;+66:20:33.6;Cam;;;;;4.30;;;;;;;;;;;;;;;;;;BD+66  358,HD 30614;
vdB 31;RfN;04:55:45.85;+30:33:04.3;Aur;;;;;6.80;;;;;;;;;;;;;;;;;;BD+30  741,HD 31293;
vdB 32;RfN;05:02:21.71;+44:16:10.5;Aur;;;;;9.12;;;;;;;;;;;;;;;;;;BD+44 1080;
vdB 33;RfN;05:06:51.06;-03:19:59.9;Ori;;;;;10.12;;;;;;;;;;;;;;;;;;BD-03 1013,HD 293815;
vdB 34;RfN;05:16:18.15;+34:18:44.3;Aur;;;;;5.80;;;;;;;;;;;;;;;;;;BD+34  980,HD 34078;
vdB 35;RfN;05:14:59.44;+13:00:50.8;Ori;;;;;8.70;;;;;;;;;;;;;;;;;;BD+12  754,HD 34033;
vdB 36;RfN;05:14:32.27;-08:12:05.9;Ori;;;;;0.15;;;;;;;;;;;;;;;;;;BD-08 1063,HD 34085;
vdB 37;RfN;05:18:04.08;+13:25:03.9;Ori;;;;;8.20;;;;;;;;;;;;;;;;;;BD+13  852,HD 34454;
vdB 38;RfN;05:21:43.56;+08:25:42.8;Ori;;;;;5.77;;;;;;;;;;;;;;;;;;BD+08  933,HD 34989;
vdB 39;RfN;05:24:29.53;+32:49:08.7;Aur;;;;;9.50;;;;;;;;;;;;;;;;;;BD+32  970,HD 243202;
vdB 40;RfN;05:25:38.13;+06:35:17.5;Ori;;;;;9.00;;;;;;;;;;;;;;;;;;BD+06  921,HD 243588;
vdB 41;RfN;05:29:10.95;+23:41:39.9;Tau;;;;;9.30;;;;;;;;;;;;;;;;;;BD+23  921,HD 244068;
vdB 42;RfN;05:31:18.41;-05:42:13.5;Ori;;;;;9.46;;;;;;;;;;;;;;;;;;BD-05 1281,HD 36412;
vdB 43;RfN;05:32:07.40;+06:02:49.3;Ori;;;;;9.00;;;;;;;;;;;;;;;;;;BD+05  951,HD 36471;
vdB 44;RfN;05:32:14.83;-04:31:06.2;Ori;;;;;8.11;;;;;;;;;;;;;;;;;;BD-04 1162,HD 36540;
vdB 45;RfN;05:36:40.82;+31:51:16.2;Aur;;;;;9.50;;;;;;;;;;;;;;;;;;BD+31 1022,HD 245259;
vdB 46;RfN;05:36:25.43;-06:42:57.7;Ori;;;;;9.30;;;;;;;;;;;;;;;;;;BD-06 1253;
vdB 47;RfN;05:39:14.83;+23:19:24.1;Tau;;;;;7.80;;;;;;;;;;;;;;;;;;BD+23  982,HD 37387;
vdB 48;RfN;05:38:06.51;-00:11:03.5;Ori;;;;;7.46;;;;;;;;;;;;;;;;;;BD-00 1034,HD 37370;
