Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names
WR 1;WR*;00:43:28.39;+64:45:35.4;;;;;10.74;10.10;8.21;7.86;7.48;;WN4b;;;;;;;;;;;;;HD 4004,DR3 524101256981955200;
WR 2;WR*;01:05:23.03;+60:25:18.9;;;;;10.35;10.99;10.04;9.78;9.45;;WN2b;;;;;;;;;;;;;HD 6327,DR3 426378793809476096;
WR 2-1;WR*;01:11:58.49;+64:49:45.4;;;;;;;11.48;11.06;10.81;;O+WN5h;;;;;;;;;;;;;DR3 524993029624315904,SDSS 55440347;
WR 3;WR*;01:38:55.62;+58:09:22.6;;;;;10.62;10.61;10.24;10.13;10.01;;WN3ha;;;;;;;;;;;;;HD 9974,DR3 508955656105078912;
WR 3-1;WR*;01:40:32.96;+63:42:22.9;;;;;;14.96;11.56;11.06;10.62;;WN4;;;;;;;;;;;;;DR3 512856654641310976,WR-C-01;
WR 4;WR*;02:41:11.67;+56:43:49.8;;;;;10.30;9.80;8.75;8.57;7.88;;WC5+?;;;;;;;;;;;;;HD 16523,DR3 454818035714964992;
WR 5;WR*;02:52:11.66;+56:56:07.1;;;;;10.85;10.37;8.63;8.34;7.65;;WC6;;;;;;;;;;;;;HD 17638,DR3 460606178458202496;
WR 6;WR*;06:54:13.04;-23:55:42.0;;;;;6.60;6.87;6.35;6.23;5.89;;WN4b;;;;;;;;;;;;;HD 50896,DR3 2922367976673391232,EZ CMa;S308
WR 7;WR*;07:18:29.13;-13:13:01.5;;;;;11.68;11.40;9.97;9.67;9.27;;WN4b;;;;;;;;;;;;;HD 56925,DR3 3032940844556081408;NGC 2359
WR 7a;WR*;07:20:22.36;-23:43:56.5;;;;;15.04;14.11;11.65;11.25;10.88;;WN4/C;;;;;;;;;;;;;DR3 5617746515133032448,PLMC 1,GSC 6537-0281;
WR 8;WR*;07:44:58.22;-31:54:29.5;;;;;10.69;10.16;8.57;8.32;7.93;;WN7o/CE;;;;;;;;;;;;;HD 62910,DR3 5595121310305893760;Anon (Stock & Barlow)
WR 9;WR*;07:45:50.40;-34:19:48.5;;;;;11.42;10.49;8.45;8.11;7.54;;WC5+O7;;;;;;;;;;;;;HD 63099,DR3 5588584477463342592,IC 2206;
WR 10;WR*;07:59:46.24;-28:44:03.0;;;;;11.22;10.93;10.05;9.89;9.61;;WN5h;;;;;;;;;;;;;HD 65865,DR3 5597770416085979648;
WR 11;WR*;08:09:31.96;-47:20:11.8;;;;;1.58;1.83;2.15;2.25;2.10;;WC8+O7.5III-V;;;;;;;;;;;;;HD 68273,HIP 39953,gamma Vel;
WR 12;WR*;08:44:47.29;-45:58:55.4;;;;;11.34;10.78;8.62;8.26;7.87;;WN8h;;;;;;;;;;;;;DR3 5329864237502044160,Ve5-5,MR 13;
WR 13;WR*;08:49:52.95;-45:10:24.0;;;;;;13.78;10.13;9.63;8.86;;WC6;;;;;;;;;;;;;DR3 5331491785272445952,Ve6-15;
WR 14;WR*;08:54:59.16;-47:35:32.6;;;;;9.44;8.92;7.49;7.25;6.61;;WC7+?;;;;;;;;;;;;;HD 76536,DR3 5328783280128054784,Ve5-8;
WR 15;WR*;09:13:11.76;-50:06:25.5;;;;;11.80;10.69;7.85;7.34;6.60;;WC6;;;;;;;;;;;;;HD 79573,DR3 5325632526471160832,Ve5-10;
